TURN	UTTERANCE	DA	EMOTION
Ses01M_script02_2_F028	no.	ans	fru
Ses04F_impro03_F035	yeah.  i hadn't actually thought about the cake yet, but	ans	xxx
Ses05F_script01_3_M025	yeah.  i lost them.	s	sad
Ses03M_script03_1_M010	oh, darling.  don't say that.	c	xxx
Ses05M_impro03_F003	oh, what, how where how did you do it?	q	exc
Ses05F_script01_3_F021	yeah sure.	ans	neu
Ses05F_impro08_M015	wow.  i can't believe you're actually admitting to having a problem on your end.  that's a first.	o	xxx
Ses03F_script02_2_F036	things have never turned out anything the way that i thought they would be.	o	sad
Ses04M_script02_2_M013	no, of course, not.	dag	fru
Ses01F_script01_3_F030	aw, geez.	b	sad
Ses05M_script01_1_M006	i guess he is.	ag	xxx
Ses03M_impro07_F018	oh great. i would love to go.	o	exc
Ses01F_script02_2_F025	no, no. nothing.	ans	fru
Ses05F_impro01_M022	i am the manager.	ans	xxx
Ses01F_script02_2_F018	we thought i was pregnant, we got a bottle of champagne, we had no glasses.  we took off our shoes and you asked me to dance.	s	xxx
Ses05F_script01_1_M023	she's not larry's girl!	dag	xxx
Ses04M_impro03_F025	all fruit and brown. [laughter]	s	exc
Ses03M_script03_1_F022	...only if you ever so much as look at another woman i'll kill you.	o	xxx
Ses01M_script02_2_M000	they're out there swimming right now...	s	xxx
Ses05F_impro01_F019	except they're going tell, are you going to tell me the right line to stand in this time at least?	q	fru
Ses02F_script02_1_F011	not particularly.	ans	xxx
Ses05F_script02_2_F002	it's pr, somebody sold you a bill of goods that this wonderful event is going to occur on the beach.	o	xxx
Ses05F_impro08_F009	in the mail?	q	neu
Ses02M_impro05_F019	i understand, so-	ag	neu
Ses01F_impro07_F011	um, yeah, yeah.  i'm a ta for two sessions. mmhmm.	ans	xxx
Ses03F_impro03_F012	yeah, i said yes, but i, yeah, i mean	ans	exc
Ses03M_impro08a_F008	okay.  well that is, that is fine and all.  i don't care.  i really don't care because i want my phone to work that's all.	o	fru
Ses02M_script02_2_F013	i did want to see them, i always do. i mean i keep thinking that this is going to be the time and it never is.	o	ang
Ses05F_script02_2_F000	about what?	q	xxx
Ses02F_impro07_M014	that's great.	a	xxx
Ses04F_script01_1_M027	well if she does, then that's the end of it.  from her letters, i think she's forgotten him.  i'll find out.	ans	fru
Ses01F_script03_1_M010	it's strange; things that ought to matter dreadfully, they just don't matter at all when one's happy.  do they?	o	hap
Ses04F_impro02_F015	you're not making this any easier for me, you know.  i'm the one who has to go and you're really not helping.	o	fru
Ses02F_script03_1_M028	how long did that row last?	q	neu
Ses03F_script01_2_F004	it's got that about it.	ans	ang
Ses05F_script01_3_M004	what?	q	neu
Ses05F_impro06_M005	absolutely, absolutely.	ag	sad
Ses02F_script01_2_M018	what have i got to hide?  what the hell is the matter with you kate?	q	ang
Ses04F_script03_2_F039	stop, stop.  i hate you.  do you hear?  you're conceited and overbearing and utterly impossible.	o	ang
Ses02F_script01_1_M025	to hell with that.	dag	ang
Ses04M_impro04_M019	-because you were always wrong and-and-and this time you were right. and-and i didn't - yeah, that's why.	o	fru
Ses01M_impro05_F031	i wish i-	o	neu
Ses03M_script02_2_F023	i'd rather not remember something...	ans	sad
Ses03F_script02_1_F000	fine.	ans	sad
Ses03M_impro02_F024	a whole year? --we're not talking about like a couple months here.  i mean this is a whole year.	s	sad
Ses01M_impro03_M004	no, no, no, no, no, no she just... she's not a citizen but she wants her visa, yeah. she's going to pay me fifty thousand dollars to marry her and stay married to her for two years.	s	exc
Ses03M_script02_1_F014	what are you getting so excited about?  i mean, it's not like it's like the landing on the moon or something.  i mean, it's just fish, fish that nobody eats.	o	xxx
Ses04F_script02_2_M038	no, i know me either.	dag	xxx
Ses03M_impro05b_M025	this is the worst customer service i've ever gotten before.	o	ang
Ses05F_impro03_M021	okay, i certainly hope so, of course.	ag	xxx
Ses02M_impro07_F025	well, there are all kinds of awesome secrets so you'll really enjoy it. it's really great. i'm so glad.	o	exc
Ses03F_script01_3_F030	how many?	q	sad
Ses02M_script01_1_M012	we've got to say it to him.	dag	ang
Ses03M_impro08b_M022	alright?  great.  have a nice evening.	o	neu
Ses01M_impro04_M003	i mean i've been looking for a job for like three years and i can't get a job.  i mean like, it's america, right?  i should be able to get a job.	s	fru
Ses01M_script02_2_F041	so maybe we're in the wrong spot.  but we're with the right person.	o	xxx
Ses05M_impro06_M012	you think that things get easier, you know, as you as you get older and you -	o	sad
Ses05F_impro02_F029	we'll figure something out.  we just have to ... we just have to think about this.  could any of your family help us?	q	sad
Ses05F_impro03_M051	i think so, too.  are you going to get a house or-	q	exc
Ses01M_script02_2_M050	it's not champagne.	s	neu
Ses05F_script01_3_M024	remember when i was overseas?  i was in command of the company.	q	sad
Ses05F_impro06_M023	that's the best way to put it.	o	neu
Ses04M_script02_2_F008	for heaven's sake, we are not going to see the grunions.	o	xxx
Ses01M_script03_1_F008	oh. behave exquisitely...	ans	hap
Ses02M_script01_1_M026	i wanted to get this settled first.	ans	neu
Ses01M_script03_2_F004	not at all. it was very pretty. i still wear it often.	dag	xxx
Ses04F_script02_2_F006	we just have different ideas about what this evening is supposed to look like.	ans	ang
Ses05F_impro03_F056	you won't have trouble, you won't have trouble.	o	hap
Ses03M_impro05a_M029	my name is brent caption.	ans	ang
Ses05M_script02_2_M029	now, i know.  me either	ag	sad
Ses03M_impro07_M022	yeah and they said get whatever you want and...	s	exc
Ses03F_script03_2_M012	no particular reason. anyhow, they were very small ones.	s	neu
Ses03M_impro03_F010	[laughter] so nasty. no you... dirty me?	q	exc
Ses02F_script01_1_M039	i want a family.  i want kids.  i want something that i can give myself to.  annie's in the middle of that.  now, where do i find it?	s	xxx
Ses02F_script03_2_M017	that reply has broken my heart.	s	xxx
Ses01M_script01_2_F005	the girl is not larry's.  if the girl is larry's girl she's not his she know she's not.	s	ang
Ses03F_impro08_M023	-to make up the three million dollars.	q	xxx
Ses04F_script01_3_M037	there was no meaning in it here.	o	xxx
Ses05F_script01_1_M025	to hell with that!	dag	ang
Ses05F_impro04_M038	so what's the something else?	q	neu
Ses05M_script03_2_F009	no thanks.	ans	neu
Ses03F_impro01_F011	[laughter]	oth	fru
Ses05F_impro06_M003	i am so sorry,  it's-	ap	sad
Ses02F_impro08_M003	okay.	b	neu
Ses02M_impro03_F015	right exactly because you can't say no in front of thousands of people. [laughter]	ag	exc
Ses01F_script01_1_M003	i don't know.	ans	neu
Ses05M_impro07_F005	really? are you doing the m.f.a. program?	q	hap
Ses02F_script03_1_F027	that was the first time you ever hit me.	ans	neu
Ses05M_script03_1_F016	oh, dear.  shall we like that?	q	xxx
Ses02M_script01_3_F000	you're the only one i know who loves his parents.	o	xxx
Ses02F_impro05_F021	thank you.	g	xxx
Ses02F_impro03_M022	oh, i approve. i-[laughter]-i more than approve.	ans	hap
Ses05F_script02_2_F030	for heaven's sake augie, wherever i am i always wanted to be with you.	o	sad
Ses01M_script02_2_M038	no.  you know what you get?  you know what you get?  you get this.	s	sad
Ses05M_impro01_M009	well, it was this girl standing right next to you.  can we ask her why she didn't let me fill out the right form?	q	fru
Ses03F_script01_1_F013	we can't. it just won't work.	o	fru
Ses05F_impro04_F023	i feel like i have faith and now faith is running thin because there is no money.	o	sad
Ses04M_impro05_F034	then that would be lying.	ans	fru
Ses02F_impro05_F002	some problems?  what is that supposed to mean?	q	sur
Ses03M_impro06_M012	his girlfriend got killed too.	s	sad
Ses01M_script01_3_M015	you felt something that far back?	q	xxx
Ses02M_script03_1_F008	what's so horrible is that one can't stay happy.	ans	xxx
Ses05F_impro02_F034	yeah, as much as i can.	ans	sad
Ses04M_impro05_M032	so what if what if we what if we do three forms	q	fru
Ses04M_script01_1_F015	why?	q	neu
Ses03F_impro03_M006	yeah, the lousy chaperone. [laughter] uh huh.	ans	exc
Ses05F_impro01_F004	can you just-can i just get the right-	q	fru
Ses04F_impro07_F003	yes, i am.	ans	exc
Ses05F_script02_1_F015	i am just not.	s	neu
Ses03M_impro01_F010	no, no, no. sir,you need to get out of the line--	dag	xxx
Ses05F_script03_2_F005	and what of it?	q	neu
Ses05F_impro05_F029	so i would have carried it on, but they made me check it and then they lost it.	s	xxx
Ses03F_impro06_FXX1	yeah, man.	ag	-
Ses04M_impro07_M010	um, you know, i don't think so.  but i think that, you know, it's still a private school	ans	hap
Ses03F_impro04_F008	yeah, but what if i never make it? what if i studied all my life, this theatre, this acting, and i'm never going to get anywhere. i'm never going to be able to have a job.	o	fru
Ses03M_script03_1_F024	charles, that was his name, charles.  oh, god he was so wiggled so beautifully.	s	xxx
Ses05M_script01_1b_F001	what do you mean?  i was the first one up, he was still in bed.	q	sur
Ses03F_impro04_M004	you got to do.	o	neu
Ses05M_script02_2_F019	no.	ans	sad
Ses01M_script01_3_F013	you started to write me.	ans	xxx
Ses05F_script01_3_F000	you're the only one i know who loves his parents.	s	hap
Ses03M_impro03_F035	i cannot believe you.  why do you want to get married?  you're a boy.  you're a little boy.	o	xxx
Ses02M_script03_1_M011	what does it all mean that's what i ask that's what i ask myself in my ceaseless quest for ultimate truth?  good god what does it all mean?	q	hap
Ses03F_impro02_M003	oh, wow. that's great.	o	xxx
Ses05M_impro06_M002	the end, he's been sick for awhile.  he had cancer.	s	sad
Ses01F_impro05_F001	yeah. this is the fourth line that i have been in.	s	fru
Ses01M_impro07_M019	it's pretty wild.	o	hap
Ses02M_script01_1_F004	so you talked to him?	q	xxx
Ses02M_script02_1_F022	it's ridiculous.	o	fru
Ses04F_script02_1_M005	the flashlight, the silver one.  there's only one isn't there?	ans	fru
Ses04M_impro02_M021	i mean, i don't want to - i don't want to leave.  i want to stay here with you.	o	fru
Ses05F_impro05_F043	okay fine.	ag	xxx
Ses02M_impro08_F015	okay.	b	xxx
Ses02F_impro01_F013	and i can tell you where i was born and what time and by who and what day.	s	fru
Ses04F_script03_2_F001	presents a trivial little broach.	s	xxx
Ses03M_script01_1_F018	well i have an idea but i don't know.  what's the story?	q	xxx
Ses05M_script02_1_M003	the flashlight.  the silver one.  there's only one, isn't there?  stupid.	ans	exc
Ses04M_script01_1_F004	did you talk to him?	q	xxx
Ses03F_impro02_F030	but we can work, you know, we--you can write me and we could see pictures	s	xxx
Ses05F_impro06_M010	is he an actor too, or-?	q	neu
Ses02F_impro02_F007	and--i mean, my daughter--i don't want to put her in danger.  you know?  she has to stay.	o	sad
Ses01F_script01_1_F011	where's the proof?  do you have any proof?	q	fru
Ses02F_impro05_M018	well, that's--that's what i'm saying--	s	neu
Ses02M_script03_2_F022	they sting.	dag	xxx
Ses03F_impro02_M007	i can't no, i can't do this alone.	o	ang
Ses02M_script02_1_M036	this is, this is great, isn't it? i wouldn't miss this for anything. now listen to this, i know you're not interested but just listen.	c	exc
Ses02F_script02_1_M030	for real?	q	xxx
Ses04M_script03_2_M029	snap.  oh, snap, snap, snap, like a little adder.	o	ang
Ses05M_impro02_F012	what would be the worst that would happen if they found you somewhere else?	q	neu
Ses03F_script02_1_M044	about what i just said.	ans	neu
Ses02F_impro05_M015	probably even talk to--	s	neu
Ses04F_impro02_M021	yeah.  of course i do because i didn't enlist in this stupid thing.  why don't you just get out now and then-	ag	ang
Ses01M_impro07_M000	check this out.  you know how i've told you i've been really into like softball recently?	q	exc
Ses02F_impro03_F007	so, he--so we walked down to the pier and there's like these lights--like these little, like lights- and we're like what's that? and he's like i don't know let's go find out.	s	xxx
Ses05F_script01_3_F009	i guess this is why i came.	ans	hap
Ses04F_impro07_F015	u.s.c. has a major in that, right.	s	exc
Ses04M_script02_1_F004	you kept saying my flashlight as if it's somehow just yours.  how is that supposed to make me feel?	q	ang
Ses04M_impro07_M011	and right you know it's still and then, you know, i mean-	s	hap
Ses04F_script02_2_F035	but this isn't anything like i thought anything would be like.	o	xxx
Ses05F_impro08_M028	six four nine four. that would be so great, thank you so much.	o	hap
Ses05M_impro04_F000	what do you mean?	q	xxx
Ses02M_script03_2_M041	very amusing indeed.	dag	ang
Ses03M_impro04_M015	i don't want to be a law clerk.	s	dis
Ses02F_script01_3_F023	yeah, sure.	ans	sad
Ses05F_impro06_F017	yeah, i'm just going to miss him.	o	sad
Ses01M_script01_2_M009	what do you want me to do?  what do you want?	q	fru
Ses01M_impro02_F011	me?  i'm not worried about me.	s	xxx
Ses02M_script02_2_M002	certainly it's not. slightly exaggerated scientific fact.	dag	neu
Ses02F_script02_2_M002	it certainly is not.  it's slightly exaggerated scientific fact.	dag	neu
Ses01M_script02_1_M013	are you all right?  are you okay?  you cold?  do you want to my jacket? my jacket? no?	q	xxx
Ses04F_script03_2_F042	oh, i am.  let go of me.	dag	ang
Ses02F_script02_2_M032	cause you know what you get, carla?  you know what you get?  this.	s	fru
Ses03F_script01_1_M039	no, i've given it three years of thought.	s	fru
Ses02F_impro04_M012	because i know you.  you know, and maybe once you get to know some more people, like talking to them and everything, they'll get to know you too and they'll realize they should've hired you three years ago.  you know? but  and and they'll finally come around and believe me--it'll--you gotta-	ans	neu
Ses01F_script01_3_F002	[breathing] you know, it's lovely here.  the air is sweet.	o	neu
Ses05F_script03_2_M008	well, that's a nice point of view i must say.	o	ang
Ses03F_impro07_M013	oh, jesus. that is so amazing.	o	exc
Ses04F_script01_1_M022	sometimes you have a sometimes you have a talent for ignoring things.	o	ang
Ses05F_script03_1_M024	do you remember that awful scene we had in venice?	q	exc
Ses01M_impro07_F031	cool. you don't seem like you'd fit in there.	o	xxx
Ses02F_impro05_M008	right.  no.  i mean they they might--they might--if you-if you are argue the case more, maybe they'll reimburse you more, but, right now--	dag	neu
Ses05M_impro07_F031	there's actually, a friend of mine is um moving out of her place and her place is amazing- and it's really cheap.	s	hap
Ses01M_script01_2_M011	[breathing]	oth	fru
Ses01F_impro01_M000	do you have your forms?	q	fru
Ses04M_impro07_M020	umm, and i'm going to check out school and get, you know, check out the courses	s	exc
Ses05F_impro07_M008	that'll be awesome.	o	exc
Ses02M_impro01_F019	well, if you had checked the web site it would have said.	s	fru
Ses05F_impro08_F005	uh when's when's-	b	neu
Ses04F_impro01_M022	ma'am you are testing my patience.  do you understand me?	o	fru
Ses03F_script01_3_M039	and i went to work with dad and that rat race again. and i felt what you said-ashamed somehow. because nobody was changed at all. it seemed to make a sucker out of a lot of guys.	s	sad
Ses05F_impro05_F017	does this happen often?  do they--you just lose baggage and you just offer people money for it?	q	fru
Ses02F_impro07_F025	i they have like--they just have so many like prestigious like this school is top ten and like the departments within it, you know what i mean.	s	exc
Ses03M_script01_2_M007	you can't read her mind.	o	xxx
Ses05F_impro02_M023	i can't let you go.  i can't let you go.  i'll call them.  i'll say something.  i'll do anything.  i'll tell them something different.	ans	xxx
Ses01M_impro05_F007	i'm just saying you don't need to talk to me like i-	s	neu
Ses03F_script01_3_M022	[laughter]. god, i kissed annie. i kissed annie. how long, how long i've been waiting to kiss you.	o	xxx
Ses05M_script01_1_F018	well, what do you want me to do?  you're old enough to make to know your own mind.	o	ang
Ses02F_impro07_M006	yeah, no, definitely--it's gonna..	ag	exc
Ses05M_script01_1b_M037	i'd like to build something that's my own.  and annie is in the center of that.  now, where do i find it?	o	xxx
Ses01M_impro07_F010	oh.	b	neu
Ses05F_impro05_M023	obviously, we're not trying to lose your luggage.  do you really believe that we're trying to lose your luggage ma'am?	q	neu
Ses04F_impro01_M017	and, uh, throw it away. i need you to fill out a new form.	s	fru
Ses02F_impro01_F008	well, no.  i mean, i don't carry my original documents with me because if those things get destroyed, then what do you, you know what i mean, like if i loose my wallet or something, i'll never have them again.	ans	fru
Ses04M_script01_3_F006	i knew they would, your mother, anyway.	ag	xxx
Ses02F_script02_2_F019	just dancing barefoot in the sand, drinking champagne out of the bottle.	s	sad
Ses03F_script01_1_M030	well then i guess it's over then. but from her letters i think she's forgotten him.	ans	neu
Ses01F_impro07_F016	i know. i made such a mess of it, the entire time.  the last three things i've done, i've ruined everything, i think. mm-hmm.  yeah.	ag	exc
Ses04M_script03_1_F008	but what's so horrible is that one can't stay happy.	ans	exc
Ses02F_script03_1_F029	it was ridiculous.  completely ridiculous.	o	exc
Ses05F_script01_1_M028	so what, i'm not fast with women.	ag	fru
Ses03F_script01_3_M004	what?	q	neu
Ses02M_impro05_M028	all right. i'm sick i'm sick of this all right. i'm sick of you and keep your fifty dollar.	o	fru
Ses04M_script03_2_F030	mind your own business.	c	ang
Ses05F_impro08_M001	all i want to do is put my, pay for my freaking credit card, and there's something wrong in my bill, like i swear, it says i didn't paid last month, but i know i paid last month.	s	fru
Ses04M_impro01_F009	go get in that- sir- sir, there are people in line behind you. you need	s	fru
Ses04F_impro07_M044	okay.  putt-putt golfing?	q	neu
Ses03F_script01_1_M035	i just-	b	fru
Ses03M_script02_2_F014	god, you don't understand anything.	s	fru
Ses04F_script02_2_F047	or not.	o	xxx
Ses04F_impro03_M001	uh, you got a new car, a new house. uh, a dog.	ans	neu
Ses05F_script02_1_FXX0	augie.	b	-
Ses05M_impro02_M032	i love you.  okay?	o	xxx
Ses02F_script01_3_M005	the trouble is, i planned on sort of sneaking up on you over a period of a week or so.  but, they take it for granted that we're all set.	s	xxx
Ses02F_script01_2_F006	what's going on here, joe?	q	xxx
Ses02M_impro07_M025	yeah, i mean a lot-a lot  of good stuff oh, yeah, i mean it's it's just a really good school; so really, whatever i pick i can't go wrong. i mean i'm just	ans	hap
Ses04M_script01_3_M010	i didn't want to tell it to you here.  i wanted someplace we'd never been; someplace where we'd be brand new to each other.	s	xxx
Ses05M_impro04_M022	i'm not like this all the time.  i mean, i don't - i'm just frustrated right now, all right.  i just want to do --	o	fru
Ses05M_impro08_F024	thank you so much.	g	xxx
Ses02M_impro08_M004	pretend like your on a rotary phone, goes straight through to a person.	s	neu
Ses05F_impro06_M011	yes of course, of course.	ag	sad
Ses05F_impro04_F011	this is humiliating.	o	fru
Ses05F_impro01_F018	why not?	q	ang
Ses02M_script03_2_F040	oh yes i am.	dag	ang
Ses04M_impro04_F015	i think maybe you can't get employed because you aren't willing to take responsibility for your own actions.	ans	neu
Ses01F_impro05_M021	i'm very sorry.  but if you see the sign that's right behind me here, it spells it out really clearly that we are not held liable--	s	xxx
Ses01M_script01_1_M010	i just--why shouldn't he walk the nights waiting for him, huh?  do we contradict him do we say we don't have any hope any more that he's not coming back?	q	fru
Ses05F_script02_1_M000	what time is it?  isn't it supposed to start running around midnight?  this is great, isn't it?  look at this great night we got here.  couldn't be better--	o	exc
Ses05M_impro03_M025	oh, yeah.  my mom's freaking out. oh yeah, she's so happy. this is you know  it's her dream come true.  she always wanted her little boy - she wants kids, you know.	ans	hap
Ses05F_impro07_F003	yeah.	ag	exc
Ses02M_impro02_F012	will you write me letters, paper ones?	q	sad
Ses02F_script03_2_F024	mind your own business.	c	fru
Ses05F_script03_1_M027	how long did that row last?	q	exc
Ses04F_impro03_F001	it's really exciting.  don't you want to guess?	q	exc
Ses02F_script01_3_F002	you know, it's lovely here, the air is sweet.	o	xxx
Ses04F_impro07_F030	no.  an i got accepted to u.s.c. party. [laughter]	ans	exc
Ses02M_impro05_F025	well because lots of people get their baggage lost and we don't want to have false claims or anything like that so we have	ans	neu
Ses04M_script03_2_F050	marry you again? huh.	s	ang
Ses03F_script02_1_M023	why not?	q	neu
Ses04M_script01_1_M001	he was out here when it broke.	ans	neu
Ses02M_script02_1_M038	they don't why, we don't know why. they didn't take a vote or anything; they didn't get a map or an invitation.	s	exc
Ses01F_script01_3_F003	i'm not sorry, no. but i'm...i can't stay.	ans	neu
Ses04M_script03_2_M056	whore.	o	ang
Ses03F_script01_1_F025	and she-she's larry's girl.	s	fru
Ses05F_impro03_M030	[laughter] i am sil	oth	hap
Ses05F_impro04_M003	i went to school and i got my degree.  and i got a job.	ans	neu
Ses04F_impro07_F047	i know.	ag	exc
Ses03F_script03_2_M032	you better turn that off.	o	xxx
Ses05F_impro03_F008	right, i thought i would be way older too. i thought i would be i be at least thirty something.	o	exc
